STATE,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
13,130051,1,1,1,1,121,280,26,1,2010,3,20,48,1,11,1,I-75/SR-401,,70,33.74487778,-84.389955560,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130052,2,2,0,5,81,0,27,1,2010,4,22,55,1,1,1,I-75/SR-401,,65,31.90415833,-83.737150000,0,12,6,0,1,1,1,0,2,1,0,1,0,0000000,23,9,23,16,23,47,0,0,0,3,0
13,130053,1,1,2,2,31,0,28,1,2010,5,20,39,1,2,3,SR-73,,91,32.38432778,-81.834133330,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,2,0
13,130054,1,1,0,1,75,0,28,1,2010,5,10,0,0,5,4,BARNEYVILLE ROAD,,8,31.22707778,-83.481847220,0,34,0,0,1,1,6,0,1,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130055,1,1,0,1,139,2160,28,1,2010,5,20,17,0,14,3,SR-13,MYERS STREET,42,34.18324722,-83.925977780,0,30,0,0,2,9,6,0,3,10,0,10,0,0000000,20,17,20,22,23,19,0,0,0,1,1
13,130056,1,1,0,1,189,1600,29,1,2010,6,23,0,0,4,6,IRON HILL ROAD,,21,33.36429722,-82.398877780,0,1,0,0,1,1,1,0,2,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1
13,130058,4,4,2,2,121,280,30,1,2010,7,19,54,1,11,1,I-20/SR-402,,87,33.74502222,-84.390513890,0,12,6,0,1,1,1,0,2,2,0,2,0,0000000,19,58,20,5,20,16,14,19,0,2,0
13,130059,2,2,0,5,117,0,31,1,2010,1,20,22,0,9,3,SR-53,,11,34.33043056,-84.011205560,0,12,2,0,1,1,1,0,2,10,0,10,0,0000000,20,22,20,35,21,30,0,0,0,2,2
13,130060,3,3,0,3,67,3440,18,1,2010,2,18,44,0,14,3,SR-280,BENTLEY RD,6,33.92250278,-84.476613890,0,12,6,0,2,2,1,0,3,1,0,1,0,0000000,18,45,18,51,19,13,0,0,0,1,0
13,130061,1,1,0,1,77,3950,18,1,2010,2,10,45,0,13,6,NEWNAN CROSSING BYP,,99999,99.99990000,999.999900000,0,35,0,0,1,1,5,0,1,1,0,1,0,0000000,10,48,10,53,11,33,0,0,0,1,0
13,130062,1,1,1,1,67,3440,19,1,2010,3,16,12,0,16,4,FRANKLIN RD,,7,33.92224444,-84.492180560,0,15,0,0,8,1,1,0,1,1,0,1,0,0000000,16,14,16,20,16,45,0,0,0,1,0
13,130063,1,1,0,1,73,0,19,1,2010,3,5,46,0,16,4,COX RD,,5,33.52721111,-82.147950000,0,33,0,0,1,1,4,0,3,1,0,1,0,0000000,5,49,5,54,6,17,0,0,0,1,0
13,130064,1,1,3,1,89,0,20,1,2010,4,15,17,0,16,4,CENTRAL DR,,9,33.81206389,-84.201213890,0,8,0,0,1,1,4,0,1,1,0,1,0,0000000,15,19,15,33,16,2,0,0,0,1,0
13,130065,1,1,1,1,121,1900,20,1,2010,4,21,5,0,14,4,WASHINGTON RD,,44,33.67163056,-84.459500000,0,8,0,0,1,1,1,0,3,2,0,2,0,0000000,21,5,21,10,21,47,0,0,0,1,0
13,130066,1,1,1,1,45,0,21,1,2010,5,19,4,0,13,3,SR-61,,0,33.61545833,-84.998325000,0,8,0,0,1,1,1,0,2,2,0,2,0,0000000,19,4,19,14,20,1,0,0,0,1,0
13,130067,1,1,0,1,105,0,21,1,2010,5,23,36,0,6,4,SEYMOUR RD,DEEP CREEK RD,0,34.17318056,-83.043080560,0,34,0,0,3,2,5,0,2,2,0,2,0,0000000,23,39,23,57,88,88,0,0,0,1,0
13,130068,3,3,0,3,119,0,21,1,2010,5,18,51,1,1,1,I-85,,99999,34.37517778,-83.257377780,0,25,0,0,1,1,3,0,2,2,0,2,0,0000000,18,51,19,6,19,26,0,0,0,1,0
13,130069,1,1,0,1,117,0,22,1,2010,6,20,13,0,15,4,CASTLEBERRY RD,,9,34.18429444,-84.181708330,0,34,0,0,1,1,5,0,2,10,0,10,0,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130070,1,1,0,1,77,3950,24,1,2010,1,99,99,0,13,6,NEWNAN CROSSING BYP,,6,33.38268333,-84.762461110,0,33,0,0,1,1,6,0,2,10,0,10,0,0000000,9,51,10,0,88,88,0,0,0,1,1
13,130071,1,1,1,1,121,4790,1,2,2010,2,19,45,0,13,6,HOLCOMB BRIDGE ROAD,,81,34.02243056,-84.326483330,0,8,0,0,1,1,1,0,3,10,0,10,0,0000000,19,46,19,46,19,58,0,0,0,1,0
13,130072,1,1,1,1,67,0,2,2,2010,3,6,24,0,13,3,SR-8,QUEENS MILL ROAD,72,33.80457778,-84.526533330,0,8,0,0,3,2,1,0,3,2,0,2,0,0000000,6,25,6,31,88,88,0,0,0,1,0
13,130073,2,2,0,3,139,0,2,2,2010,3,8,21,1,13,3,SR-365,ATHENS STREET,71,34.40220000,-83.679858330,0,12,6,0,2,3,1,0,1,2,0,2,0,0000000,8,23,8,28,8,54,0,0,0,2,0
13,130074,1,1,0,1,83,0,3,2,2010,4,18,36,1,1,1,I-59/SR-406,,142,34.90330278,-85.492580560,0,35,0,0,1,1,6,0,5,10,0,10,0,0000000,18,36,18,36,88,88,0,0,0,1,0
13,130075,2,2,0,2,169,0,3,2,2010,4,14,47,1,13,3,SR-49,,80,32.94227500,-83.485041670,0,35,0,0,1,1,6,0,1,1,0,1,0,0000000,14,47,14,57,88,88,0,0,0,1,0
13,130076,1,1,0,1,295,0,3,2,2010,4,15,52,0,6,4,FOSTER MILL DRIVE,,16,34.67502222,-85.289247220,0,34,0,0,1,1,6,0,1,1,0,1,0,0000000,15,54,16,12,17,3,0,0,0,1,1
13,130077,1,1,1,1,77,3950,4,2,2010,5,3,51,0,16,6,NEWNAN CROSSING,,6,33.38268333,-84.762438890,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,3,51,4,0,88,88,0,0,0,1,0
13,130078,2,2,0,2,139,0,4,2,2010,5,12,35,1,13,3,SR-11,,148,34.35445556,-83.824030560,0,12,8,0,1,1,1,0,1,2,0,2,0,0000000,12,35,12,41,13,6,0,0,0,1,0
13,130079,1,1,0,1,143,0,4,2,2010,5,22,6,1,1,1,I-20/SR-402,,45,33.69001389,-85.196119440,0,24,0,0,1,1,4,0,2,2,0,2,0,0000000,22,6,22,38,88,88,0,0,0,1,0
13,130080,1,1,0,2,89,0,5,2,2010,6,20,30,0,14,4,LAVISTA ROAD,,79,33.85247222,-84.229475000,0,30,0,0,1,1,6,0,3,2,0,2,0,0000000,20,30,20,39,21,0,0,0,0,1,1
13,130081,1,1,1,1,73,0,6,2,2010,7,20,52,0,13,3,SR-383,OWENS ROAD,34,33.52204167,-82.141813890,0,8,0,0,3,2,1,0,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130082,1,1,1,2,89,0,6,2,2010,7,10,0,0,14,3,SR-8,,116,33.86412500,-84.197394440,0,24,0,0,1,1,6,0,1,10,0,10,0,0000000,10,15,10,25,11,0,0,0,0,1,1
