ST_CASE,VEH_NO,MDRDSTRD,YEAR,FATALS,PER_TYP,INJ_SEV
10069,1,0,2010,1,1.0,4.0
10070,1,98,2010,1,1.0,3.0
10070,1,98,2010,1,2.0,3.0
10070,2,0,2010,1,1.0,0.0
10070,3,0,2010,1,1.0,4.0
10071,1,0,2010,1,1.0,4.0
10072,1,0,2010,1,1.0,4.0
10072,2,0,2010,1,1.0,0.0
10072,3,0,2010,1,1.0,0.0
10072,3,0,2010,1,2.0,0.0
10073,1,0,2010,1,1.0,1.0
10073,2,0,2010,1,1.0,4.0
10074,1,0,2010,1,1.0,4.0
10074,2,0,2010,1,1.0,1.0
10075,1,99,2010,1,1.0,4.0
10075,1,99,2010,1,2.0,3.0
10075,2,0,2010,1,1.0,3.0
10076,1,0,2010,1,1.0,4.0
10076,2,0,2010,1,1.0,3.0
10076,2,0,2010,1,2.0,3.0
10076,2,0,2010,1,2.0,3.0
10077,1,0,2010,1,1.0,4.0
10077,1,0,2010,1,2.0,2.0
10077,1,0,2010,1,2.0,1.0
10078,1,0,2010,1,1.0,4.0
10079,1,0,2010,1,1.0,4.0
10079,1,0,2010,1,2.0,2.0
10079,1,0,2010,1,2.0,3.0
10080,1,6,2010,1,1.0,4.0
10080,2,0,2010,1,1.0,0.0
10080,2,0,2010,1,2.0,1.0
10080,2,0,2010,1,2.0,1.0
10081,1,0,2010,1,1.0,4.0
10081,1,0,2010,1,2.0,3.0
10081,1,0,2010,1,2.0,3.0
10082,1,0,2010,1,1.0,4.0
10082,1,0,2010,1,2.0,3.0
10083,1,0,2010,1,1.0,0.0
10083,1,0,2010,1,2.0,0.0
10084,1,0,2010,1,1.0,4.0
10085,1,0,2010,3,1.0,4.0
10085,1,0,2010,3,2.0,4.0
10085,1,0,2010,3,2.0,4.0
10086,1,0,2010,1,1.0,4.0
10086,1,0,2010,1,2.0,2.0
10087,1,0,2010,1,1.0,4.0
10087,2,0,2010,1,1.0,0.0
10088,1,0,2010,1,1.0,4.0
10088,1,0,2010,1,2.0,3.0
10089,1,0,2010,1,1.0,4.0
10089,2,0,2010,1,1.0,0.0
10090,1,0,2010,1,1.0,4.0
10090,1,0,2010,1,2.0,3.0
10091,1,0,2010,1,1.0,4.0
10091,2,0,2010,1,1.0,2.0
10092,1,0,2010,1,1.0,2.0
10092,1,0,2010,1,2.0,4.0
10092,2,0,2010,1,1.0,2.0
10093,1,0,2010,1,1.0,4.0
10093,2,0,2010,1,1.0,3.0
10094,1,10,2010,1,1.0,4.0
10094,2,0,2010,1,1.0,0.0
10095,1,0,2010,1,1.0,0.0
10095,1,0,2010,1,2.0,0.0
10096,1,0,2010,1,1.0,0.0
10096,1,0,2010,1,2.0,4.0
10097,1,0,2010,1,1.0,0.0
10098,1,0,2010,1,1.0,4.0
10099,1,0,2010,1,1.0,4.0
10100,1,0,2010,1,1.0,3.0
10100,1,0,2010,1,2.0,3.0
