STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1,10001,1,1,2,1,1,1,15,17,0,1,0,1,2,49,32,49032,4,2011,2T1BU4EE5BC7,2,T,1,B,U,4,E,E,5,B,C,7,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,70,0,1,5,11,6,2,42,0,0,0,1,1,35966,1,1,1,0,2,0,64,135,0,6,2,1,1,11,2011,4,2013,3,0,0,0,0,1,2,45,2,1,2,1,0,0,14,12,1,1,4,6,1,1
1,10002,1,1,1,1,1,13,30,42,0,1,0,1,2,7,482,7482,31,1997,3B7KC23Z3VM5,3,B,7,K,C,2,3,Z,3,V,M,5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,12,6,2,42,0,0,0,1,1,35585,1,1,0,0,2,0,71,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,1,1,2,1,0,0,1,12,1,1,4,6,1,1
1,10003,1,2,4,1,1,3,7,12,6,1,1,1,2,20,37,20037,4,2004,1G1ZU548X4F1,1,G,1,Z,U,5,4,8,X,4,F,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35404,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2,5,45,1,1,2,1,3,3,1,17,1,1,1,88,0,0
1,10003,2,2,3,1,1,3,7,12,6,1,0,1,2,49,40,49040,4,1997,4T1BF22K9VU0,4,T,1,B,F,2,2,K,9,V,U,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,8,6,2,12,0,0,0,1,1,35405,0,0,0,0,0,0,63,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,45,1,1,2,1,3,3,1,66,1,1,1,89,2,0
1,10004,1,3,1,2,1,9,0,12,2,1,0,1,1,49,472,49472,30,1999,4TANL42N4XZ4,4,T,A,N,L,4,2,N,4,X,Z,4,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,6,2,12,0,0,0,1,1,35150,6,1,0,0,3,0,65,165,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,2,55,1,5,2,2,0,0,1,54,1,1,1,52,1,0
1,10004,2,3,3,2,1,9,0,12,2,1,0,1,3,12,461,12461,21,1997,1FBJS31L8VHC,1,F,B,J,S,3,1,L,8,V,H,C,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,1,35244,6,1,0,0,3,0,74,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,55,1,6,2,2,0,0,1,54,2,1,1,52,0,0
1,10004,3,3,1,2,1,9,0,12,2,1,0,1,3,82,881,82881,66,2010,1FUBGADV1ALA,1,F,U,B,G,A,D,V,1,A,L,A,1,1,57,978310,57978310,3,6,1,1,0,0,0,0,0,0,0,50,0,0,0,8,2,5,12,0,0,0,1,1,36874,6,1,6,0,3,1,72,205,0,0,0,1,0,4,2011,4,2011,0,0,0,0,0,2,2,55,1,6,2,2,0,0,1,60,1,1,1,98,0,0
1,10005,1,1,1,2,1,16,30,35,0,1,0,1,2,49,46,49046,5,2005,JTDKB20U7530,J,T,D,K,B,2,0,U,7,5,3,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,1,5,12,6,2,1,0,0,0,1,1,35055,6,1,0,0,3,0,67,140,0,0,0,0,0,0,0,0,0,0,89,0,0,0,1,2,45,2,6,2,1,0,0,14,12,1,1,4,6,1,0
1,10006,1,1,1,3,1,2,0,32,0,1,0,1,1,49,32,49032,4,2010,1NXBU4EE8AZ2,1,N,X,B,U,4,E,E,8,A,Z,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,12,6,2,42,0,0,0,1,1,36432,6,1,0,0,3,0,72,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,45,3,6,2,1,0,0,14,13,1,1,4,1,1,0
1,10007,1,2,1,3,1,18,40,12,7,1,0,1,2,20,2,20002,4,1995,1G1BL52P9SR1,1,G,1,B,L,5,2,P,9,S,R,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,9,2,3,12,0,0,0,1,1,36608,1,1,0,0,2,0,70,170,0,0,0,1,0,3,2011,3,2011,2,8,0,0,0,2,2,35,2,1,2,1,0,0,14,60,1,1,1,45,0,0
