STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,480493,1,1,0,0,0,1,1,239,0,6,3,2014,5,7,42,1,2,2,US-59,,24,29.07270833,-96.46581389,0,35,0,0,1,1,0,3,2,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480494,1,1,0,0,0,1,1,475,0,6,3,2014,5,4,15,0,6,4,CR-COLORADO ST,,0,31.53504722,-102.916175,0,30,0,0,1,1,0,4,2,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480495,2,2,0,0,0,2,2,491,0,6,3,2014,5,18,40,1,2,3,SR-29,JACK NICKLAUS DR,55,30.63638889,-97.792875,0,12,6,0,2,3,0,1,3,1,0,1,0,0000000,18,44,18,56,19,28,0,0,0,1,0
48,480496,1,1,0,1,1,1,1,29,6090,7,3,2014,6,19,30,0,16,5,ASHLEY RD,LEAH DR,0,29.33409167,-98.489275,0,8,0,0,2,2,0,1,3,1,0,1,0,0000000,19,49,19,58,20,13,0,0,0,1,0
48,480497,2,2,0,0,0,4,4,29,6090,7,3,2014,6,5,22,1,11,1,I-410,,164,29.49638056,-98.55176944,0,24,0,0,1,1,0,3,3,1,0,1,0,0000000,5,23,5,40,5,52,0,0,0,2,0
48,480498,1,1,0,0,0,1,1,139,0,7,3,2014,6,2,40,0,4,8,FM66,,150,32.35943333,-96.89728056,0,1,0,0,1,1,0,4,2,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480499,2,2,0,0,0,2,2,201,480,7,3,2014,6,21,46,1,11,7,I-10,,548,29.81941111,-94.923875,0,12,2,0,1,1,0,1,2,1,0,1,0,0000000,21,47,22,18,22,42,0,0,0,1,0
48,480500,1,1,0,0,0,2,2,215,2110,7,3,2014,6,4,42,0,16,5,SUGAR RD,FREDDY GONZALEZ DR,0,26.28921111,-98.18080278,0,33,0,0,3,2,0,4,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,1
48,480501,1,1,0,0,0,1,1,217,0,7,3,2014,6,18,37,1,1,7,I-35,,2,31.8559,-97.08420278,0,20,0,1,5,1,1,8,1,1,0,1,0,0000000,18,34,18,50,19,14,0,0,0,1,1
48,480502,1,1,0,0,0,2,2,257,0,7,3,2014,6,12,8,0,3,3,SR-34,,90,32.64778056,-96.2649,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,12,11,12,19,13,25,0,0,0,1,0
48,480503,1,1,0,0,0,1,1,293,0,7,3,2014,6,1,49,0,3,2,US-84,,24,31.64563889,-96.84073889,0,24,0,0,1,1,0,4,2,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480504,2,2,0,0,0,2,2,309,0,7,3,2014,6,22,57,1,11,1,I-35,,13,31.67435,-97.09948056,0,12,1,0,1,1,1,1,2,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480505,1,1,0,0,0,1,1,439,3347,7,3,2014,6,13,50,1,11,1,I-820 RAMP,,243,32.82881944,-97.20551944,0,1,0,1,5,1,1,1,1,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480506,1,1,0,0,0,5,5,27,3690,8,3,2014,7,2,41,0,16,5,BECKER RD,,0,31.09875,-97.71236111,0,53,0,0,1,1,0,4,3,10,0,10,0,0000000,2,51,3,0,3,28,0,0,0,1,0
48,480507,3,3,0,0,0,4,4,97,2550,8,3,2014,7,11,46,1,13,2,US-82,,217,33.64326111,-97.11533611,0,24,0,0,1,1,0,4,1,2,0,2,0,0000000,11,52,12,15,12,45,0,0,0,1,0
