STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10001,1,1,0,0,0,2,2,81,0,1,1,2012,1,20,33,1,2,2,US-SR 38,,987,32.70131667,-85.52518056,0,1,0,0,1,1,0,3,2,1,0,1,0,0000000,99,99,20,38,99,99,0,0,0,1,1
1,10002,2,1,1,0,0,1,1,83,0,1,1,2012,1,13,15,0,16,4,CR-MAHALO CIRCLE,,0,34.74250833,-86.88350556,0,14,0,0,1,1,0,7,1,1,0,1,0,0000000,99,99,13,45,99,99,0,0,0,1,0
1,10003,1,1,0,0,0,6,6,105,0,2,1,2012,2,1,35,1,2,3,SR-5,,558,32.55205278,-87.34776944,0,35,0,0,1,1,0,4,2,1,0,1,0,0000000,99,99,2,25,99,99,0,0,0,1,0
1,10004,2,2,0,0,0,5,5,81,2340,5,1,2012,5,15,12,1,11,1,I-85,,620,32.64143611,-85.3543,0,12,1,0,1,1,0,1,1,1,0,1,0,0000000,99,99,15,21,99,99,0,0,0,1,0
1,10005,1,1,0,0,0,1,1,77,0,6,1,2012,6,6,0,0,5,4,CR-81,,0,34.92802778,-87.81505556,0,42,0,0,1,1,0,4,4,1,0,1,0,0000000,99,99,8,0,88,88,0,0,0,1,0
1,10006,2,2,0,1,1,2,2,101,2130,8,1,2012,1,18,41,0,12,6,8204,,0,32.38015556,-86.29790278,0,8,0,0,1,1,0,1,3,2,0,2,0,0000000,99,99,18,46,99,99,0,0,0,1,0
1,10007,1,1,0,0,0,1,1,47,0,8,1,2012,1,3,0,0,3,4,CR-44,,0,32.42127222,-87.0869,0,34,0,0,1,1,0,4,2,10,0,10,0,0000000,99,99,8,45,88,88,0,0,0,1,1
1,10008,1,1,0,0,0,1,1,123,0,4,1,2012,4,1,50,0,3,3,SR-49,,360,32.90949722,-85.758875,0,35,0,0,1,1,0,4,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,1
1,10009,2,2,0,1,1,1,1,115,2410,1,1,2012,1,18,42,0,14,3,SR-53,,0,33.58091944,-86.27647222,0,12,1,0,1,1,0,2,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
1,10010,1,1,0,1,1,3,3,51,3270,4,1,2012,4,18,28,1,12,2,US-SR 9,,0,32.516175,-86.21178889,0,8,0,0,1,1,0,1,2,1,0,1,0,0000000,99,99,18,32,88,88,0,0,0,1,0
