STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,DEATHS,DR_DRINK
1,10008,2,2,1,14,1,14,49,12,2,1,0,1,1,21,441,21441,20,2001,1GHDX23EX1D2,1,G,H,D,X,2,3,E,X,1,D,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35978,6,1,0,0,3,0,70,280,1,0,0,0,1,3,2010,9,2011,0,89,0,0,0,1,2,50,1,1,2,2,0,0,1,62,1,1,1,51,1,0
1,10009,1,1,1,5,1,16,21,42,0,1,0,1,1,42,42,42042,4,1997,WDBHA23E1VF5,W,D,B,H,A,2,3,E,1,V,F,5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,65,0,0,0,3,6,2,42,0,0,0,1,1,36862,6,1,0,0,3,0,69,182,0,1,0,0,0,7,2010,7,2010,0,89,0,0,0,1,2,45,1,5,2,1,0,0,1,12,1,4,4,7,1,1
1,10010,1,2,2,5,1,17,34,12,6,1,0,1,1,20,2,20002,4,2010,2G1WB5EK2A11,2,G,1,W,B,5,E,K,2,A,1,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,15,0,1,1,10,6,2,12,0,0,0,1,1,36078,6,1,6,0,3,0,75,220,0,0,0,1,0,1,2011,1,2011,0,89,38,0,0,1,2,45,1,1,2,1,20,3,1,17,1,1,1,89,1,0
1,10010,2,2,2,5,1,17,34,12,6,1,0,1,2,12,17,12017,4,2001,1FAFP58U31A2,1,F,A,F,P,5,8,U,3,1,A,2,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,1,36078,6,1,0,0,3,0,66,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,1,2,1,0,0,1,66,2,1,1,88,0,0
1,10011,1,2,1,5,1,23,29,12,2,1,0,1,1,35,472,35472,30,1998,1N6DD26S5WC3,1,N,6,D,D,2,6,S,5,W,C,3,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,85,0,0,0,12,6,2,12,0,0,0,1,1,36022,6,1,0,0,3,0,71,285,0,0,0,0,0,0,0,0,0,0,37,28,0,0,1,2,55,1,1,2,1,0,0,1,10,1,1,2,50,1,1
1,10011,2,2,2,5,1,23,29,12,2,1,0,1,2,58,35,58035,4,1999,JNKCA21A3XT7,J,N,K,C,A,2,1,A,3,X,T,7,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,1,36067,6,1,0,0,3,0,69,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,1,1,2,1,0,0,1,62,1,1,1,51,0,0
1,10012,1,1,1,7,1,5,44,8,0,1,0,1,1,49,471,49471,30,1989,JT4VN01D1K60,J,T,4,V,N,0,1,D,1,K,6,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,12,6,2,8,0,0,0,1,1,35031,6,1,0,0,3,0,71,200,0,0,0,1,0,5,2010,5,2010,0,0,0,0,0,1,2,50,1,1,2,1,0,0,1,80,1,1,1,13,0,0
1,10013,1,1,2,7,1,7,20,52,0,1,0,1,2,23,421,23421,15,2006,1GKEC13VX6R1,1,G,K,E,C,1,3,V,X,6,R,1,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,80,0,1,3,12,6,2,21,0,0,0,1,1,36067,6,1,0,0,3,0,65,210,1,0,0,0,0,2,2011,2,2011,3,0,0,0,0,3,2,70,1,1,2,1,0,0,1,12,7,1,4,6,1,0
1,10014,1,1,1,7,1,16,5,30,0,1,0,1,1,35,39,35039,4,2004,1N4BA41E54C8,1,N,4,B,A,4,1,E,5,4,C,8,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,12,6,2,38,0,0,0,1,1,35175,6,1,0,0,3,0,74,185,0,1,0,0,2,11,2011,12,2011,0,0,0,0,0,1,2,45,1,5,2,1,0,0,1,12,1,1,4,6,1,0
1,10015,1,1,1,9,1,20,0,30,0,1,0,13,1,73,709,73709,80,2006,JKAVN2D196A0,J,K,A,V,N,2,D,1,9,6,A,0,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,9,6,2,1,0,0,0,1,13,30120,6,1,0,0,2,0,69,197,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55,2,1,2,1,0,0,14,12,1,1,4,6,1,1
