STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
12,121229,2,2,0,0,0,6,6,63,0,6,8,2011,7,6,10,0,3,3,SR-73,,99998,30.80286667,-85.279513890,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,1
12,121230,1,1,0,0,0,1,1,61,0,6,8,2011,7,13,55,1,1,1,I-95,,99998,27.73876111,-80.548647220,0,42,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121231,1,1,0,0,0,2,2,103,0,6,8,2011,7,17,33,1,11,1,I-275,,99998,27.65780556,-82.676944440,0,24,0,0,1,1,3,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121232,1,1,0,0,0,5,5,113,0,6,8,2011,7,2,30,0,6,4,MILLER BLUFF ROAD,,0,30.64620278,-86.875550000,0,38,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,121233,2,2,0,0,0,2,2,95,0,8,8,2011,2,9,4,0,6,4,CR-535,OVERSTREET ROAD,0,28.46050278,-81.561519440,0,12,6,0,2,2,1,0,1,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121234,2,2,0,0,0,3,3,101,0,8,8,2011,2,13,40,1,13,2,US-19,,99998,28.41239444,-82.650455560,0,12,6,0,1,1,1,0,1,10,0,10,0,0000000,13,43,13,50,99,99,0,0,0,2,1
12,121235,2,2,0,0,0,2,2,101,0,10,8,2011,4,8,47,0,13,3,SR-54,,99998,28.20597222,-82.674836110,0,12,6,0,1,1,1,0,1,2,0,2,0,0000000,8,48,8,53,99,99,0,0,0,1,0
12,121236,1,1,0,0,0,1,1,113,0,10,8,2011,4,21,25,1,13,2,US-98,,99998,30.60713889,-87.105138890,0,1,0,0,1,1,4,0,2,2,0,2,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,121237,1,1,0,0,0,1,1,95,3310,12,8,2011,6,22,55,0,16,6,FOREST ROAD,,0,28.57382222,-81.348336110,0,33,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,121238,2,2,0,0,0,3,3,11,2468,14,8,2011,1,15,35,1,13,2,US-27,,99998,26.01715000,-80.432655560,0,12,1,0,1,1,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,121239,1,1,0,1,1,1,1,109,0,11,5,2011,4,12,25,0,6,4,CR-214,RYAN ROAD,0,29.85904167,-81.417569440,0,9,0,0,2,3,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121240,1,1,0,0,0,1,1,5,2450,9,4,2011,7,7,11,0,16,6,W 23RD STREET,W 20TH STREET,0,30.18991111,-85.688897220,0,33,0,0,2,3,4,0,1,5,0,5,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121241,1,1,0,0,0,5,5,86,0,1,5,2011,1,21,20,0,13,3,SR-825,,99998,25.66324722,-80.416172220,0,42,0,0,1,1,3,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,0
12,121242,2,2,0,4,4,3,3,86,670,28,5,2011,7,15,53,0,13,3,SR-953,BIRD ROAD,99998,25.73473056,-80.262108330,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121243,1,1,0,0,0,1,1,5,2450,25,6,2011,7,0,50,0,13,2,US-98,,99998,30.18708333,-85.734647220,0,5,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,121244,2,2,0,0,0,4,4,11,1050,29,6,2011,4,20,52,0,14,4,N ANDREWS AVENUE,,99998,26.14993889,-80.145313890,0,12,98,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121245,1,1,0,0,0,3,3,31,1510,14,7,2011,5,12,41,0,16,6,MANNING CEMENTERY RD,,0,30.22247500,-81.932677780,0,5,0,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121246,2,2,0,0,0,2,2,101,0,14,7,2011,5,14,28,0,6,4,DENTON AVENUE,,0,28.38997222,-82.621419440,0,12,1,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121247,1,1,0,0,0,1,1,11,2916,16,7,2011,7,16,56,0,16,6,104TH TERRACE,,0,26.16052222,-80.287591670,0,3,0,0,1,1,4,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121248,1,1,0,0,0,1,1,105,3300,20,7,2011,4,12,0,0,16,6,15TH STREET,,0,28.01420278,-81.743250000,0,33,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121249,2,2,0,0,0,5,5,95,0,31,7,2011,1,23,25,0,13,3,SR-50,,99998,28.55450278,-81.317616670,0,12,6,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,121251,1,1,0,1,1,1,1,57,0,1,8,2011,2,9,45,1,11,1,I-4,,99998,28.00638611,-82.299697220,0,8,0,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121252,1,1,0,1,1,1,1,3,0,2,8,2011,3,9,30,0,14,3,SR-121,,99998,30.24060556,-82.134922220,0,8,0,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121253,2,2,0,0,0,3,3,99,0,7,8,2011,1,6,54,1,11,1,I-95,,99998,26.71851111,-80.090230560,0,12,1,0,1,1,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,23,0,0,1,0
12,121254,3,3,0,0,0,9,9,127,0,7,8,2011,1,1,20,0,3,3,SR-415,,99998,28.81980556,-81.185936110,0,12,6,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121255,2,2,0,0,0,3,3,99,0,10,8,2011,4,1,28,1,12,3,SR-91,,99998,26.89578056,-80.136822220,0,12,1,0,1,1,1,0,2,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121256,1,1,0,1,1,1,1,57,0,20,6,2011,2,21,30,0,6,4,CR-581,,0,28.07275556,-82.426191670,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121257,2,2,0,0,0,3,3,127,780,25,2,2011,6,10,30,0,3,3,SR-5A,,99998,29.21956389,-81.047366670,0,12,1,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121258,2,2,0,0,0,3,3,121,1830,3,3,2011,5,11,20,0,14,2,US-129,72ND TRACE,99998,30.31806944,-83.013263890,0,12,1,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121259,2,2,0,0,0,2,2,111,0,16,3,2011,4,7,31,0,16,6,CR-778,AIROSO BL,0,27.31778889,-80.349711110,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121260,1,1,0,0,0,2,2,11,1782,23,3,2011,4,15,40,0,13,2,US-441,,99998,26.12924167,-80.217361110,0,30,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121261,2,2,0,0,0,3,3,86,2220,1,4,2011,6,6,23,0,16,6,NE 135TH STREET,NE 5TH AVENUE,0,25.89934167,-80.188855560,0,12,6,0,2,2,1,0,3,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121262,2,2,0,0,0,2,2,103,2730,13,5,2011,6,16,50,0,16,6,MLK JR STREET,,0,27.75574722,-82.646627780,0,12,6,0,8,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121264,2,2,0,1,1,4,4,86,2010,10,6,2011,6,10,48,0,16,6,42ND STREET,FLAGLER STREET,0,25.77171667,-80.263619440,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121265,2,2,0,0,0,5,5,73,0,25,6,2011,7,14,50,0,13,2,US-27,CHAIRES CROSS ROAD,99998,30.42247500,-84.118666670,0,12,2,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,0
12,121266,2,2,0,0,0,2,2,81,0,20,7,2011,4,12,4,0,13,2,US-301,,99998,27.52123333,-82.541994440,0,12,1,0,1,1,1,0,1,1,0,1,0,0000000,12,14,12,21,99,99,0,0,0,1,0
12,121267,1,1,0,0,0,1,1,33,0,26,7,2011,3,9,0,0,15,3,SR-290,,99998,30.51085833,-87.239855560,0,34,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121268,1,1,0,1,1,1,1,11,1782,3,8,2011,4,20,26,0,13,2,US-441,,99998,26.09103611,-80.201241670,0,8,0,0,1,1,1,0,3,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121269,1,1,0,0,0,2,2,97,0,10,8,2011,4,20,50,0,6,4,CR-532,,0,28.27521389,-80.931180560,0,30,0,0,1,1,4,0,2,10,0,10,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121270,1,1,0,0,0,3,3,107,0,11,8,2011,5,20,30,0,6,4,STOKES LANDING RD,,0,29.60343889,-81.703544440,0,1,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121272,1,1,0,0,0,1,1,23,0,14,8,2011,1,6,40,0,6,4,CR-238,,0,29.96614167,-82.736002780,0,42,0,0,1,1,4,0,4,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121273,1,1,0,0,0,3,3,105,0,14,8,2011,1,13,53,1,13,2,US-27,,99998,28.00876111,-81.631294440,0,1,0,0,1,1,3,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121274,2,1,1,1,1,1,1,57,0,16,8,2011,3,1,15,1,12,3,SR-589,,99998,28.02315278,-82.544236110,0,14,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121275,1,1,0,1,1,1,1,95,2360,17,8,2011,4,9,7,0,13,2,US-441,,99998,28.58122778,-81.408080560,0,9,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121276,2,2,0,0,0,3,3,23,0,17,8,2011,4,16,2,1,1,1,I-75,,99998,30.13489167,-82.665438890,0,12,1,0,1,1,1,0,1,2,0,2,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121277,1,1,0,0,0,1,1,109,0,19,2,2011,7,19,10,0,6,4,CR-210 W,,0,30.04963056,-81.555205560,0,34,0,0,1,1,4,0,6,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121278,1,1,0,0,0,2,2,105,0,21,2,2011,2,12,2,0,16,6,CR-542,,0,28.02249444,-81.681016670,0,34,0,0,1,1,4,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121279,1,1,0,2,2,1,1,117,2770,3,3,2011,5,9,36,0,16,6,103 HUGHES AVENUE,,0,28.79385000,-81.251358330,0,8,0,0,8,1,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121281,1,1,0,1,1,1,1,57,2950,22,3,2011,3,20,45,0,13,3,SR-60,TAMPANIA AVE,99998,27.94478889,-82.486438890,0,8,0,0,2,2,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121282,1,1,0,1,1,1,1,86,0,16,4,2011,7,23,54,0,13,3,SR-9,,99998,25.86078333,-80.242177780,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121283,1,1,0,1,1,1,1,86,2010,27,4,2011,4,20,13,1,13,2,US-1,31ST AVENUE,99998,25.73770278,-80.243838890,0,8,0,0,3,2,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121284,1,1,0,1,1,1,1,11,0,1,5,2011,1,22,22,0,6,8,41ST AVENUE,,0,26.09080278,-80.202991670,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121285,1,1,0,0,0,1,1,11,2260,29,7,2011,6,23,58,1,11,1,I-95,,99998,26.16742778,-80.158675000,0,24,0,1,5,1,4,0,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,121286,1,1,0,0,0,1,1,57,0,15,8,2011,2,0,0,0,6,4,FORT KING HIGHWAY,,0,28.06177500,-82.290172220,0,42,0,0,1,1,4,0,2,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,121287,1,1,0,1,1,1,1,9,0,20,8,2011,7,16,28,1,11,1,I-95,,99998,28.42805556,-80.820116670,0,8,0,0,1,1,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,19,0,0,1,0
12,121288,1,1,0,0,0,1,1,11,672,15,5,2011,1,21,19,0,6,4,WILES ROAD,,99998,26.28690278,-80.248797220,0,33,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,1
12,121289,1,1,0,0,0,1,1,99,0,12,8,2011,6,3,38,1,13,2,US-98,,99998,26.67847500,-80.132827780,0,33,0,0,1,1,4,0,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,1
12,121290,1,1,0,1,1,1,1,103,2740,26,2,2011,7,19,5,0,14,3,SR-699,,99998,27.73337222,-82.745544440,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
12,121291,1,1,0,1,1,3,3,57,2950,19,3,2011,7,19,59,0,16,6,MLK BLVD WEST,,0,27.98130278,-82.486613890,0,9,0,0,8,1,1,0,5,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121292,1,1,0,1,1,1,1,105,1740,5,3,2011,7,20,40,0,3,3,SR-25,,99998,27.89029444,-81.599986110,0,8,0,0,1,1,1,0,3,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,1,0
12,121293,3,2,1,0,0,5,5,11,1280,26,4,2011,3,11,15,9,99,9,GOLDEN ISLES DRIVE,,99998,25.98214444,-80.128844440,0,12,6,0,1,1,1,0,1,1,0,1,0,0000000,99,99,99,99,88,88,0,0,0,2,0
12,121294,2,2,0,0,0,2,2,86,0,1,6,2011,4,14,9,0,14,4,32ND AVENUE,62ND STREET,99998,25.73693333,-80.245933330,0,12,6,0,2,2,1,0,1,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
